#Sample	unique_to_file_1	unique_to_file_1_snp	unique_to_file_1_indel	unique_to_file_2	unique_to_file_2_snp	unique_to_file_2_indel	both_missing	common_context	common_context_snp	common_context_indel	common_context_discordant_id	called_and_same	called_and_same_hom_ref	called_and_same_hom_var	called_and_same_het	called_but_discordant	called_but_discordant_hom1_het2	called_but_discordant_het1_hom2	called_but_discordant_hom1_hom2	called_but_discordant_het1_het2
B00G733	43709	15500	27525	22446	10745	11701	2416	558606	534830	22525	55051	555650	486870	27680	41100	2956	749	1829	198	180
B00G736	43714	15527	27489	22434	10725	11709	2522	558507	534810	22486	55032	555679	487172	27006	41501	2828	676	1808	164	180
B00G72T	43715	15505	27507	22503	10788	11715	2288	558671	534944	22504	55033	555772	488019	27176	40577	2899	799	1774	152	174
B00G735	43807	15592	27524	22524	10761	11763	2255	558591	534839	22510	55071	555612	486981	27330	41301	2979	726	1932	149	172
B00G72W	43812	15607	27511	22456	10728	11728	2296	558613	534863	22507	55056	555772	487482	27480	40810	2841	771	1719	176	175
B00G738	43703	15497	27511	22470	10743	11727	2214	558790	535001	22547	55099	555761	486813	26942	42006	3029	737	1979	150	163
B00G72V	43706	15477	27533	22467	10761	11706	2208	558796	535043	22517	55043	555809	488570	26587	40652	2987	715	1940	161	171
B00FX00	43809	15628	27495	22800	10939	11861	2346	558222	534460	22496	54980	555048	486640	27178	41230	3174	833	1961	170	210
B00FX0P	43647	15452	27515	22604	10804	11800	2409	558517	534777	22486	55002	555441	487123	27142	41176	3076	857	1881	160	178
B00FX0S	43731	15561	27486	22688	10882	11806	2474	558284	534606	22440	54940	555006	487153	27214	40639	3278	850	2083	153	192
